candidate_trial,fold,val_psnr,val_ssim,hidden_dim,learning_rate,num_res_blocks,temporal_loss_weight
44,0,38.5271,0.971,96,0.001444760232466623,3,0.17164818098576287
44,1,38.4185,0.9761,96,0.001444760232466623,3,0.17164818098576287
44,2,39.1289,0.9797,96,0.001444760232466623,3,0.17164818098576287
44,3,38.6707,0.9759,96,0.001444760232466623,3,0.17164818098576287
44,4,38.6027,0.9769,96,0.001444760232466623,3,0.17164818098576287
24,0,38.5172,0.9709,96,0.0015988531100774848,3,0.18486158531061045
24,1,38.4242,0.9762,96,0.0015988531100774848,3,0.18486158531061045
24,2,39.1089,0.9796,96,0.0015988531100774848,3,0.18486158531061045
24,3,38.6483,0.9757,96,0.0015988531100774848,3,0.18486158531061045
24,4,38.5682,0.9768,96,0.0015988531100774848,3,0.18486158531061045
25,0,38.5324,0.971,96,0.001537752435598547,3,0.1813576127523835
25,1,38.4566,0.9763,96,0.001537752435598547,3,0.1813576127523835
25,2,39.094,0.9795,96,0.001537752435598547,3,0.1813576127523835
25,3,38.6669,0.9758,96,0.001537752435598547,3,0.1813576127523835
25,4,38.6206,0.977,96,0.001537752435598547,3,0.1813576127523835
34,0,38.5388,0.971,96,0.0013329560189638935,3,0.12367247405414444
34,1,38.3932,0.9761,96,0.0013329560189638935,3,0.12367247405414444
34,2,39.1505,0.9797,96,0.0013329560189638935,3,0.12367247405414444
34,3,38.6768,0.9758,96,0.0013329560189638935,3,0.12367247405414444
34,4,38.6174,0.977,96,0.0013329560189638935,3,0.12367247405414444
39,0,38.5327,0.971,96,0.0012768258222273054,3,0.10530151240833201
39,1,38.3894,0.9761,96,0.0012768258222273054,3,0.10530151240833201
39,2,39.1212,0.9795,96,0.0012768258222273054,3,0.10530151240833201
39,3,38.6716,0.9758,96,0.0012768258222273054,3,0.10530151240833201
39,4,38.6006,0.9769,96,0.0012768258222273054,3,0.10530151240833201
