candidate_trial,n_folds,mean_psnr,std_psnr,mean_ssim,std_ssim,hidden_dim,learning_rate,num_res_blocks,temporal_loss_weight
34,5,38.6753,0.2559,0.9759,0.0028,96,0.0013329560189638935,3,0.12367247405414444
25,5,38.6741,0.2221,0.9759,0.0028,96,0.001537752435598547,3,0.1813576127523835
44,5,38.6696,0.2445,0.9759,0.0028,96,0.001444760232466623,3,0.17164818098576287
39,5,38.6631,0.2473,0.9759,0.0028,96,0.0012768258222273054,3,0.10530151240833201
24,5,38.6534,0.2391,0.9758,0.0028,96,0.0015988531100774848,3,0.18486158531061045
